exercise,subject_id,camera,model,num_frames,mean_nmpjpe,std_nmpjpe,median_nmpjpe,frames_over_30,frames_over_50,skip_rate,video_id,category
Ex2,PM_040,c18,YOLOv8-Pose n,1157,13.804764190750795,3.848756874428141,12.549745506749291,6,0,0.0912561221549985,PM_040-c18,clean
Ex2,PM_102,c17,MediaPipe full,1665,11.29451388578684,2.6196635021203014,10.325137413908486,0,0,0.0226726726726726,PM_102-c17,clean
Ex2,PM_102,c17,MoveNet multipose,1665,9.682917366101735,1.9178244562681763,9.320179081567453,0,0,0.084984984984985,PM_102-c17,clean
Ex2,PM_102,c17,YOLOv8-Pose n,1525,13.560223833305384,37.243499251789245,9.88206145362175,12,11,0.0120218579234972,PM_102-c17,clean
Ex2,PM_102,c18,MediaPipe full,1665,14.50142614199006,3.044126490781818,13.308315603118666,0,0,0.1665665665665666,PM_102-c18,clean
Ex2,PM_102,c18,MoveNet multipose,1665,12.372343910719382,1.7681223751667223,12.106047199419994,0,0,0.141991991991992,PM_102-c18,clean
Ex2,PM_102,c18,YOLOv8-Pose n,1665,18.080518952537435,6.926431743919507,14.579829649450906,104,0,0.0108108108108108,PM_102-c18,clean
Ex2,PM_110,c17,MediaPipe full,1923,11.05725906437189,2.1891969563966254,10.85867105650896,0,0,0.0110937770844167,PM_110-c17,clean
Ex2,PM_110,c17,MoveNet multipose,1923,9.105101905431342,1.5565366296406848,8.867299526670253,0,0,0.0868001386722135,PM_110-c17,clean
Ex2,PM_110,c17,YOLOv8-Pose n,1585,16.437140150604915,49.80854579346309,11.2249879839564,18,18,0.0092534174553102,PM_110-c17,clean
Ex2,PM_110,c18,MediaPipe full,1923,10.541937873306225,2.609134926483615,9.80069829994393,0,0,0.1865141272317559,PM_110-c18,clean
Ex2,PM_110,c18,MoveNet multipose,1923,8.407360742372214,2.6023348050288644,7.800082085342296,0,0,0.1622898249263303,PM_110-c18,clean
Ex2,PM_110,c18,YOLOv8-Pose n,1923,9.569113464589394,2.064685101213322,8.942705126843583,0,0,0.0564222568902755,PM_110-c18,clean
