patient_id,video_id,exercise,camera,model,video_median_nmpjpe
8,PM_109,Ex1,c18,YOLOv8,9.977293739340151
8,PM_110,Ex2,c17,MediaPipe,10.85867105650896
8,PM_110,Ex2,c17,MoveNet,8.867299526670253
8,PM_110,Ex2,c17,YOLOv8,11.21753359753476
8,PM_110,Ex2,c18,MediaPipe,9.80069829994393
8,PM_110,Ex2,c18,MoveNet,7.800082085342296
8,PM_110,Ex2,c18,YOLOv8,8.942705126843583
8,PM_111,Ex4,c17,MediaPipe,10.352036036333832
8,PM_111,Ex4,c17,MoveNet,11.579742485363424
8,PM_111,Ex4,c17,YOLOv8,13.425680704881646
8,PM_111,Ex4,c18,MediaPipe,13.695461639891429
8,PM_111,Ex4,c18,MoveNet,11.160251880357595
8,PM_111,Ex4,c18,YOLOv8,12.8490448034345
8,PM_112,Ex5,c17,MediaPipe,11.497113059292563
8,PM_112,Ex5,c17,MoveNet,12.131034098380072
8,PM_112,Ex5,c17,YOLOv8,11.637799607481217
8,PM_112,Ex5,c18,MediaPipe,10.421950166909436
8,PM_112,Ex5,c18,MoveNet,9.746137813002317
8,PM_112,Ex5,c18,YOLOv8,14.926020571305518
8,PM_113,Ex6,c17,MediaPipe,12.447695104087249
8,PM_113,Ex6,c17,MoveNet,11.04736061759069
8,PM_113,Ex6,c17,YOLOv8,12.100107837821412
8,PM_113,Ex6,c18,MediaPipe,12.404925138656784
8,PM_113,Ex6,c18,MoveNet,11.611275115203554
8,PM_113,Ex6,c18,YOLOv8,13.485045894837272
9,PM_114,Ex1,c17,MediaPipe,11.569567887699419
9,PM_114,Ex1,c17,MoveNet,10.657580586227477
9,PM_114,Ex1,c17,YOLOv8,10.968450674146975
9,PM_114,Ex1,c18,MediaPipe,14.879547932922192
9,PM_114,Ex1,c18,MoveNet,13.551811249869605
9,PM_114,Ex1,c18,YOLOv8,13.669000498624992
9,PM_115,Ex2,c17,MediaPipe,11.317316351775522
9,PM_115,Ex2,c17,MoveNet,9.014658537613064
9,PM_115,Ex2,c17,YOLOv8,10.29997883244487
9,PM_115,Ex2,c18,MediaPipe,11.899068858406716
9,PM_115,Ex2,c18,MoveNet,10.893177415660123
9,PM_115,Ex2,c18,YOLOv8,13.264301763018654
9,PM_116,Ex4,c17,MediaPipe,10.83547748443473
9,PM_116,Ex4,c17,MoveNet,11.124723394891696
9,PM_116,Ex4,c17,YOLOv8,11.663571284641378
9,PM_116,Ex4,c18,MediaPipe,12.160189685969172
9,PM_116,Ex4,c18,MoveNet,11.94563977955453
9,PM_116,Ex4,c18,YOLOv8,13.229882678057402
9,PM_118,Ex6,c17,MediaPipe,11.55568613484019
9,PM_118,Ex6,c17,MoveNet,10.035750574808937
9,PM_118,Ex6,c17,YOLOv8,10.673375097802907
9,PM_118,Ex6,c18,MediaPipe,11.75342818348794
9,PM_118,Ex6,c18,MoveNet,10.759665284542194
9,PM_118,Ex6,c18,YOLOv8,12.484876403317449
